Lista de features excluídas por não apresentarem relação estatisticamente significativa com aleitamento_materno_exclusivo (p≥0.05)
====================================================================================================

Total de features excluídas: 125

Testes aplicados nas features excluídas:
- Chi-quadrado: 73
- Mann-Whitney U: 52

Feature                                  | Classificação | Teste Aplicado                  | p-valor
peso_crianca_y_21                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_22                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_2                         | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_1c                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_1b                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_1a                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_19                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_18                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_17                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_16                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_15                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_13                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_20                        | Quantitativa  | Mann-Whitney U                 | 0.97123
peso_crianca_y_14                        | Quantitativa  | Mann-Whitney U                 | 0.97123
b02_sexo                                 | Qualitativa   | Chi-quadrado                   | 0.98304
j0502_rel_evangelica_tradicional         | Qualitativa   | Chi-quadrado                   | 0.98788
j0508_rel_sem_religiao                   | Qualitativa   | Chi-quadrado                   | 0.99200
peso_setor_ajuste1                       | Quantitativa  | Mann-Whitney U                 | 0.99646
